1946_1	1946_1	To the Congress of the United States:  
1995_28	1995_28	My fellow Americans, without regard to party, let us rise to the occasion.  Let us put aside partisanship and pettiness and pride. As we embark on this  course, let us put our country first, remembering that regardless of party  label we are all Americans. And let the final test of everything we do be a  simple one: Is it good for the American people?  
1995_30	1995_30	But we have a lot more to do before people really trust the way things work  around here. Three times as many lobbyists are in the streets and corridors  of Washington as were here 20 years ago. The American people look at their  capital and they see a city where the well_connected and the well_protected  can work the system, but the interests of ordinary citizens are often left  out.  
1995_32	1995_32	Twice this month you missed opportunities to stop these practices. I know  there were other considerations in those votes, but I want to use something  that I've heard my Republican friends say from time to time: There doesn't  have to be a law for everything.  
1995_35	1995_35	And as I have said for three years, we should work to open the air waves so  that they can be an instrument of democracy not a weapon of destruction by  giving free TV time to candidates for public office.  
1995_36	1995_36	When the last Congress killed political reform last year, it was reported  in the press that the lobbyists actually stood in the halls of this sacred  building and cheered. This year, let's give the folks at home something to  cheer about.  
1995_41	1995_41	The old way dispensed services through large, top_down, inflexible  bureaucracies. The New Covenant way should shift these resources and  decision making from bureaucrats to citizens, injecting choice and  competition and individual responsibility into national policy.  
1995_47	1995_47	Our job is to get rid of yesterday's Government so that our own people can  meet today's and tomorrow's needs.  
1995_48	1995_48	And we ought to do it together.  
1995_50	1995_50	We actually did it. We cut over a quarter of a trillion dollars in  spending, more than 300 domestic programs, more than 100,000 positions from  the Federal bureaucracy in the last two years alone.  
1995_51	1995_51	Based on decisions already made, we will have cut a total of more than a  quarter of a million positions from the Federal Government, making it the  smallest it has been since John Kennedy was president, by the time I come  here again next year.  
1995_52	1995_52	Under the leadership of Vice President Gore, our initiatives have already  saved taxpayers $ 63 billion. The age of the $ 500 hammer and the ashtray  you can break on David Letterman is gone. Deadwood programs like mohair  subsidies are gone. We've streamlined the Agriculture Department by  reducing it by more than 1,200 offices. We've slashed the small_business  loan form from an inch thick to a single page. We've thrown away the  Government's 10,000_page personnel manual.  
1995_54	1995_54	You can ask the farmers in the Middle West who fought the flood there or  the people in California who've dealt with floods and earthquakes and fires  and they'll tell you that.  
1995_55	1995_55	Government workers, working hand_in_hand with private business, rebuilt  Southern California's fractured freeways in record time and under budget.  
1995_56	1995_56	And because the Federal Government moved fast, all but one of the 5,600  schools damaged in the earthquake are back in business.  
1995_58	1995_58	University administrators all over the country have told me that they are  saving weeks and weeks of bureaucratic time now because of our direct  college loan program, which makes college loans cheaper and more affordable  with better repayment terms for students, costs the Government less and  cuts out paperwork and bureaucracy for the Government and for the  universities.  
1995_63	1995_63	And we need to get Government closer to the people it's meant to serve. We  need to help move programs down to the point where states and communities  and private citizens in the private sector can do a better job. If they can  do it, we ought to let them do it. We should get out of the way and let  them do what they can do better.  
1995_69	1995_69	But, I think we should all remember, and almost all of us would agree, that  Government still has important responsibilities.  
1995_70	1995_70	Our young people we should think of this when we cut our young people  hold our future in their hands. We still owe a debt to our veterans. And  our senior citizens have made us what we are.  
1995_74	1995_74	Immunization against childhood disease, school lunches in all our schools,  Head Start, medical care and nutrition for pregnant women and infants all  these things are in the national interest.  
1995_79	1995_79	And we should be doing things in the open around here. For example,  everybody ought to know if this proposal is going to endanger Social  Security. I would oppose that, and I think most Americans would.  
1995_80	1995_80	Welfare  
1995_84	1995_84	Last year, I introduced the most sweeping welfare reform plan ever  presented by an Administration. We have to make welfare what it was meant  to be a second chance, not a way of life.  
1995_90	1995_90	And I know all the arguments pro and con and I have read and thought about  this for a long time: I still don't think we can, in good conscience,  punish poor children for the mistakes of their parents.  
1995_91	1995_91	My fellow Americans, every single survey shows that all the American people  care about this, without regard to party or race or region. So let this be  the year we end welfare as we know it.  
1995_92	1995_92	But also let this be the year that we are all able to stop using this issue  to divide America.  
1995_98	1995_98	I know the members of this Congress are concerned about crime, as are all  the citizens of our country. But I remind you that last year we passed a  very tough crime bill longer sentences, three strikes and you're out,  almost 60 new capital punishment offenses, more prisons, more prevention,  100,000 more police and we paid for it all by reducing the size of the  Federal bureaucracy and giving the money back to local communities to lower  the crime rate.  
1995_100	1995_100	Let's look at the experience of our cities and our rural areas where the  crime rate has gone down and ask the people who did it how they did it and  if what we did last year supports the decline in the crime rate, and I am  convinced that it does, let us not go back on it, let's stick with it,  implement it we've got four more hard years of work to do to do that.  
1995_104	1995_104	But a lot of people laid down their seats in Congress so that police  officers and kids wouldn't have to lay down their lives under a hail of  assault_weapon attacks, and I will not let that be repealed. I will not let  it be repealed.  
1995_105	1995_105	I'd like to talk about a couple of other issues we have to deal with. I  want us to cut more spending, but I hope we won't cut Government programs  that help to prepare us for the new economy, promote responsibility and are  organized from the grass roots up, not by Federal bureaucracy.  
1995_108	1995_108	Illegal Immigration  
1995_112	1995_112	We are a nation of immigrants, but we are also a nation of laws. It is  wrong and ultimately self_defeating for a nation of immigrants to permit  the kind of abuse of our immigration laws we have seen in recent years, and  we must do more to stop it.  
1995_114	1995_114	America is once again the world's strongest economic power: almost six  million new jobs in the last two years, exports booming, inflation down,  high_wage jobs are coming back. A record number of American entrepreneurs  are living the American dream.  
1995_116	1995_116	Today, too many of those people are being left out. They're working harder  for less. They have less security, less income, less certainty that they  can even afford a vacation, much less college for their kids or retirement  for themselves.  
1995_118	1995_118	We've got to have a Government that can be a real partner in making this  new economy work for all of our people, a Government that helps each and  every one of us to get an education and to have the opportunity to renew  our skills.  
1995_119	1995_119	Education  
1995_120	1995_120	That's why we worked so hard to increase educational opportunities in the  last two years from Head Start to public schools to apprenticeships for  young people who don't go to college, to making college loans more  available and more affordable.  
1995_122	1995_122	Taxes  
1995_124	1995_124	We took the first step in 1993 with a working family tax cut for 15 million  families with incomes under $ 27,000, a tax cut that this year will average  about $ 1,000 a family.  
1995_125	1995_125	And we also gave tax reductions to most small and new businesses. Before we  could do more than that, we first had to bring down the deficit we  inherited and we had to get economic growth up. Now we've done both, and  now we can cut taxes in a more comprehensive way.  
1995_128	1995_128	I have proposed a middle_class bill of rights, which should properly be  called the bill of rights and responsibilities, because its provisions only  benefit those who are working to educate and raise their children and to  educate themselves. It will, therefore, give needed tax relief and raise  incomes, in both the short run and the long run, in a way that benefits all  of us.  
1995_129	1995_129	There are four provisions:  
1995_134	1995_134	Cutting The Deficit Now  
1995_136	1995_136	Thanks to the courage of the people who were here then, many of whom didn't  return, we did cut the deficit. We began to do what others said would not  be done: We cut the deficit by over $ 600 billion, about $ 10,000 for every  family in this country. It's coming down three years in a row for the first  time since Mr. Truman was President and I don't think anybody in America  wants us to let it explode again.  
1995_139	1995_139	My tests for our proposals will be: Will it create jobs and raise incomes?  Will it strengthen our families and support our children? Is it paid for?  Will it build the middle class and shrink the underclass?  
1995_140	1995_140	If it does, I'll support it. But if it doesn't, I won't.  
1995_144	1995_144	Now I studied the arguments and the evidence for and against a minimum_wage  increase. I believe the weight of the evidence is that a modest increase  does not cost jobs and may even lure people back into the job market. But  the most important thing is you can't make a living on $ 4.25 an hour. Now   especially if you have children, even with the working families tax cut  we passed last year.  
1995_145	1995_145	In the past, the minimum wage has been a bipartisan issue and I think it  should be again. So I want to challenge you to have honest hearings on  this, to get together to find a way to make the minimum wage a living  wage.  
1995_146	1995_146	Members of Congress have been here less than a month but by the end of the  week 28 days into the new year every member of Congress will have  earned as much in congressional salary as a minimum_wage worker makes all  year long.  
1995_149	1995_149	Now, last year we almost came to blows over health care, but we didn't do  anything. And the cold, hard fact is that since last year since I was  here another 1.1 million Americans in working families have lost their  health care. And the cold, hard fact is that many millions more most of  them farmers and small business people and self_employed people have  seen their premiums skyrocket, their co_pays and deductibles go up.  
1995_150	1995_150	There's a whole bunch of people in this country that in the statistics have  health insurance but really what they've got is a piece of paper that says  they won't lose their home if they get sick.  
1995_156	1995_156	Much of what the American people are thinking about tonight is what we've  already talked about. A lot of people think that the security concerns of  America today are entirely internal to our borders, they relate to the  security of our jobs and our homes and our incomes and our children, our  streets, our health and protecting those borders.  
1995_158	1995_158	Now that the Cold War has passed, it's tempting to believe that all the  security issues, with the possible exception of trade, reside here at home.  But it's not so. Our security still depends on our continued world  leadership for peace and freedom and democracy. We still can't be strong at  home unless we're strong abroad.  
1995_159	1995_159	Mexico  
1995_163	1995_163	Russia  
1995_171	1995_171	Just this week, another horrendous terrorist act in Israel killed 19 and  injured scores more. On behalf of the American people and all of you, I  send our deepest sympathy to the families of the victims. I know that in  the face of such evil, it is hard for the people in the Middle East to go  forward. But the terrorists represent the past, not the future. We must and  we will pursue a comprehensive peace between Israel and all her neighbors  in the Middle East.  
1995_174	1995_174	Defense  
1995_176	1995_176	I have visited many bases at home and around the world since I became  President. Tonight I repeat that request with renewed conviction. We ask a  very great deal of our armed forces. Now that they are smaller in number,  we ask more of them. They go out more often to more different places and  stay longer. They are called to service in many, many ways, and we must  give them and their families what the times demand and what they have  earned.  
1995_177	1995_177	Just think about what our troops have done in the last year, showing  America at its best, helping to save hundreds of thousands of people in  Rwanda, moving with lightning speed to head off another threat to Kuwait,  giving freedom and democracy back to the people of Haiti.  
1995_178	1995_178	We have proudly supported peace and prosperity and freedom from South  Africa to Northern Ireland, from Central and Eastern Europe to Asia, from  Latin America to the Middle East. All these endeavors are good in those  places but they make our future more confident and more secure.  
1995_184	1995_184	We see our families and our communities all over this country coming apart.  And we feel the common ground shifting from under us. The PTA, the town  hall meeting, the ball park it's hard for a lot of overworked parents to  find the time and space for those things that strengthen the bonds of trust  and cooperation.  
1995_192	1995_192	And I would like to say a special word to our religious leaders. You know,  I'm proud of the fact that the United States has more house of worship per  capita than any country in the world. These people, who lead our houses of  worship, can ignite their congregations to carry their faith into action,  can reach out to all of our children, to all of the people in distress, to  those who have been savaged by the breakdown of all we hold dear, because  so much of what must be done must come from the inside out. And our  religious leaders and their congregations can make all the difference. They  have a role in the New Covenant as well.  
1995_193	1995_193	There must be more responsibility for all of our citizens. You know it  takes a lot of people to help all the kids in trouble stay off the streets  and in school. It takes a lot of people to build the Habitat for Humanity  houses that the Speaker celebrates on his lapel pin. It takes a lot of  people to provide the people power for all the civic organizations in this  country that made our communities mean so much to most of us when we were  kids. It takes every parent to teach the children the difference between  right and wrong and to encourage them to learn and grow and to say no to  the wrong things but also to believe that they can be whatever they want to  be.  
1996_1	1996_1	Mr. Speaker, Mr. Vice President, members of the 104th Congress,  distinguished guests, my fellow Americans all across our land:  
1996_3	1996_3	My duty tonight is to report on the state of the Union not the state of  our government, but of our American community; and to set forth our  responsibilities, in the words of our Founders, to form a more perfect  union.  
1996_4	1996_4	The state of the Union is strong. Our economy is the healthiest it has been  in three decades. We have the lowest combined rates of unemployment and  inflation in 27 years. We have created nearly 8 million new jobs, over a  million of them in basic industries, like construction and automobiles.  America is selling more cars than Japan for the first time since the 1970s.  And for three years in a row, we have had a record number of new businesses  started in our country.  
1996_7	1996_7	The Role Of Government  
1996_11	1996_11	I believe our new, smaller government must work in an old_fashioned  American way, together with all of our citizens through state and local  governments, in the workplace, in religious, charitable and civic  associations. Our goal must be to enable all our people to make the most of  their own lives with stronger families, more educational opportunity,  economic security, safer streets, a cleaner environment in a safer world.  
1996_12	1996_12	To improve the state of our Union, we must ask more of ourselves, we must  expect more of each other, and we must face our challenges together.  
1996_15	1996_15	Deficit  
1996_18	1996_18	These cuts are real. They will require sacrifice from everyone. But these  cuts do not undermine our fundamental obligations to our parents, our  children, and our future, by endangering Medicare, or Medicaid, or  education, or the environment, or by raising taxes on working families.  
1996_19	1996_19	I have said before, and let me say again, many good ideas have come out of  our negotiations. I have learned a lot about the way both Republicans and  Democrats view the debate before us. I have learned a lot about the good  ideas that we could all embrace.  
1996_21	1996_21	Now it is time for us to look also to the challenges of today and tomorrow,  beyond the burdens of yesterday. The challenges are significant. But  America was built on challenges, not promises. And when we work together to  meet them, we never fail. That is the key to a more perfect Union. Our  individual dreams must be realized by our common efforts.  
1996_23	1996_23	Strengthening Families  
1996_25	1996_25	Before I go on, I would like to take just a moment to thank my own family,  and to thank the person who has taught me more than anyone else over 25  years about the importance of families and children a wonderful wife, a  magnificent mother and a great First Lady. Thank you, Hillary.  
1996_28	1996_28	I call on Congress to pass the requirement for a V_chip in TV sets so that  parents can screen out programs they believe are inappropriate for their  children. When parents control what their young children see, that is not  censorship; that is enabling parents to assume more personal responsibility  for their children's upbringing. And I urge them to do it. The V_chip  requirement is part of the important telecommunications bill now pending in  this Congress. It has bipartisan support, and I urge you to pass it now.  
1996_29	1996_29	To make the V_chip work, I challenge the broadcast industry to do what  movies have done to identify your programming in ways that help parents  to protect their children. And I invite the leaders of major media  corporations in the entertainment industry to come to the White House next  month to work with us in a positive way on concrete ways to improve what  our children see on television. I am ready to work with you.  
1996_33	1996_33	Let us be candid about this difficult problem. Passing a law, even the best  possible law, is only a first step. The next step is to make it work. I  challenge people on welfare to make the most of this opportunity for  independence. I challenge American businesses to give people on welfare the  chance to move into the work force. I applaud the work of religious groups  and others who care for the poor. More than anyone else in our society,  they know the true difficulty of the task before us, and they are in a  position to help. Every one of us should join them. That is the only way we  can make real welfare reform a reality in the lives of the American  people.  
1996_39	1996_39	Our second challenge is to provide Americans with the educational  opportunities we will all need for this new century. In our schools, every  classroom in America must be connected to the information superhighway,  with computers and good software, and well_trained teachers. We are working  with the telecommunications industry, educators and parents to connect 20  percent of California's classrooms by this spring, and every classroom and  every library in the entire United States by the year 2000. I ask Congress  to support this education technology initiative so that we can make sure  this national partnership succeeds.  
1996_40	1996_40	Every diploma ought to mean something. I challenge every community, every  school and every state to adopt national standards of excellence; to  measure whether schools are meeting those standards; to cut bureaucratic  red tape so that schools and teachers have more flexibility for grass_roots  reform; and to hold them accountable for results. That's what our Goals  2000 initiative is all about.  
1996_44	1996_44	My fellow Americans, higher education is more important today than ever  before. We've created a new student loan program that's made it easier to  borrow and repay those loans, and we have dramatically cut the student loan  default rate. That's something we should all be proud of, because it was  unconscionably high just a few years ago. Through AmeriCorps, our national  service program, this year 25,000 young people will earn college money by  serving their local communities to improve the lives of their friends and  neighbors. These initiatives are right for America and we should keep them  going.  
1996_46	1996_46	Our third challenge is to help every American who is willing to work for  it, achieve economic security in this new age. People who work hard still  need support to get ahead in the new economy. They need education and  training for a lifetime. They need more support for families raising  children. They need retirement security. They need access to health care.  More and more Americans are finding that the education of their childhood  simply doesn't last a lifetime.  
1996_47	1996_47	G.I. Bill For Workers  
1996_48	1996_48	So I challenge Congress to consolidate 70 overlapping, antiquated  job_training programs into a simple voucher worth $2,600 for unemployed or  underemployed workers to use as they please for community college tuition  or other training. This is a G.I. Bill for America's workers we should all  be able to agree on.  
1996_49	1996_49	More and more Americans are working hard without a raise. Congress sets the  minimum wage. Within a year, the minimum wage will fall to a 40_year low in  purchasing power. Four dollars and 25 cents an hour is no longer a living  wage, but millions of Americans and their children are trying to live on  it. I challenge you to raise their minimum wage.  
1996_50	1996_50	In 1993, Congress cut the taxes of 15 million hard_pressed working families  to make sure that no parents who work full_time would have to raise their  children in poverty, and to encourage people to move from welfare to work.  This expanded earned income tax credit is now worth about $1,800 a year to  a family of four living on $20,000. The budget bill I vetoed would have  reversed this achievement and raised taxes on nearly 8 million of these  people. We should not do that.  
1996_51	1996_51	I also agree that the people who are helped under this initiative are not  all those in our country who are working hard to do a good job raising  their children and at work. I agree that we need a tax credit for working  families with children. That's one of the things most of us in this  Chamber, I hope, can agree on. I know it is strongly supported by the  Republican majority. And it should be part of any final budget agreement.  
1996_52	1996_52	I want to challenge every business that can possibly afford it to provide  pensions for your employees. And I challenge Congress to pass a proposal  recommended by the White House Conference on Small Business that would make  it easier for small businesses and farmers to establish their own pension  plans. That is something we should all agree on.  
1996_53	1996_53	We should also protect existing pension plans. Two years ago, with  bipartisan support that was almost unanimous on both sides of the aisle, we  moved to protect the pensions of 8 million working people and to stabilize  the pensions of 32 million more. Congress should not now let companies  endanger those workers' pension funds. I know the proposal to liberalize  the ability of employers to take money out of pension funds for other  purposes would raise money for the treasury. But I believe it is false  economy. I vetoed that proposal last year, and I would have to do so  again.  
1996_55	1996_55	Finally, if our working families are going to succeed in the new economy,  they must be able to buy health insurance policies that they do not lose  when they change jobs or when someone in their family gets sick. Over the  past two years, over one million Americans in working families have lost  their health insurance. We have to do more to make health care available to  every American. And Congress should start by passing the bipartisan bill  sponsored by Senator Kennedy and Senator Kassebaum that would require  insurance companies to stop dropping people when they switch jobs, and stop  denying coverage for preexisting conditions. Let's all do that.  
1996_58	1996_58	The G.I. Bill for workers, tax relief for education and child rearing,  pension availability and protection, access to health care, preservation of  Medicare and Medicaid these things, along with the Family and Medical  Leave Act passed in 1993 these things will help responsible, hard_working  American families to make the most of their own lives.  
1996_59	1996_59	But employers and employees must do their part, as well, as they are doing  in so many of our finest companies working together, putting the  long_term prosperity ahead of the short_term gain. As workers increase  their hours and their productivity, employers should make sure they get the  skills they need and share the benefits of the good years, as well as the  burdens of the bad ones. When companies and workers work as a team they do  better, and so does America.  
1996_62	1996_62	The Crime Bill of 1994 is critical to the success of community policing. It  provides funds for 100,000 new police in communities of all sizes. We're  already a third of the way there. And I challenge the Congress to finish  the job. Let us stick with a strategy that's working and keep the crime  rate coming down.  
1996_66	1996_66	And I challenge local housing authorities and tenant associations: Criminal  gang members and drug dealers are destroying the lives of decent tenants.  From now on, the rule for residents who commit crime and peddle drugs  should be one strike and you're out.  
1996_69	1996_69	Finally, to reduce crime and violence we have to reduce the drug problem.  The challenge begins in our homes, with parents talking to their children  openly and firmly. It embraces our churches and synagogues, our youth  groups and our schools.  
1996_72	1996_72	General McCaffrey has earned three Purple Hearts and two Silver Stars  fighting for this country. Tonight I ask that he lead our nation's battle  against drugs at home and abroad. To succeed, he needs a force far larger  than he has ever commanded before. He needs all of us. Every one of us has  a role to play on this team.  
1996_75	1996_75	Our fifth challenge: to leave our environment safe and clean for the next  generation. Because of a generation of bipartisan effort we do have cleaner  water and air, lead levels in children's blood has been cut by 70 percent,  toxic emissions from factories cut in half. Lake Erie was dead, and now  it's a thriving resource. But 10 million children under 12 still live  within four miles of a toxic waste dump. A third of us breathe air that  endangers our health. And in too many communities, the water is not safe to  drink. We still have much to do.  
1996_76	1996_76	Yet Congress has voted to cut environmental enforcement by 25 percent. That  means more toxic chemicals in our water, more smog in our air, more  pesticides in our food. Lobbyists for polluters have been allowed to write  their own loopholes into bills to weaken laws that protect the health and  safety of our children. Some say that the taxpayer should pick up the tab  for toxic waste and let polluters who can afford to fix it off the hook. I  challenge Congress to reexamine those policies and to reverse them.  
1996_78	1996_78	We must challenge businesses and communities to take more initiative in  protecting the environment, and we have to make it easier for them to do  it. To businesses this administration is saying: If you can find a cheaper,  more efficient way than government regulations require to meet tough  pollution standards, do it as long as you do it right. To communities we  say: We must strengthen community right_to_know laws requiring polluters to  disclose their emissions, but you have to use the information to work with  business to cut pollution. People do have a right to know that their air  and their water are safe.  
1996_79	1996_79	Foreign Policy  
1996_81	1996_81	We owe thanks especially to our veterans of World War II. I would like to  say to Senator Bob Dole and to all others in this Chamber who fought in  World War II, and to all others on both sides of the aisle who have fought  bravely in all our conflicts since: I salute your service, and so do the  American people.  
1996_85	1996_85	We must not be the world's policeman. But we can and should be the world's  very best peacemaker. By keeping our military strong, by using diplomacy  where we can and force where we must, by working with others to share the  risk and the cost of our efforts, America is making a difference for people  here and around the world. For the first time since the dawn of the nuclear  age, there is not a single Russian missile pointed at America's children.  
1996_86	1996_86	North Korea  
1996_87	1996_87	North Korea has now frozen its dangerous nuclear weapons program. In Haiti,  the dictators are gone, democracy has a new day, the flow of desperate  refugees to our shores has subsided. Through tougher trade deals for  America over 80 of them we have opened markets abroad, and now exports  are at an all_time high, growing faster than imports and creating good  American jobs.  
1996_90	1996_90	Bosnia  
1996_91	1996_91	And we stood up for peace in Bosnia. Remember the skeletal prisoners, the  mass graves, the campaign to rape and torture, the endless lines of  refugees, the threat of a spreading war. All these threats, all these  horrors have now begun to give way to the promise of peace. Now, our troops  and a strong NATO, together with our new partners from Central Europe and  elsewhere, are helping that peace to take hold.  
1996_96	1996_96	As we remember what happened in the Japanese subway, we can outlaw poison  gas forever if the Senate ratifies the Chemical Weapons Convention this  year. We can intensify the fight against terrorists and organized criminals  at home and abroad if Congress passes the anti_terrorism legislation I  proposed after the Oklahoma City bombing now. We can help more people  move from hatred to hope all across the world in our own interest if  Congress gives us the means to remain the world's leader for peace.  
1996_97	1996_97	My fellow Americans, the six challenges I have just discussed are for all  of us. Our seventh challenge is really America's challenge to those of us  in this hallowed hall tonight: to reinvent our government and make our  democracy work for them.  
1996_98	1996_98	Reform  
1996_103	1996_103	As we move into the era of balanced budgets and smaller government, we must  work in new ways to enable people to make the most of their own lives. We  are helping America's communities, not with more bureaucracy, but with more  opportunities. Through our successful Empowerment Zones and Community  Development Banks, we are helping people to find jobs, to start businesses.  And with tax incentives for companies that clean up abandoned industrial  property, we can bring jobs back to places that desperately, desperately  need them.  
1996_106	1996_106	I want to say a special word now to those who work for our federal  government. Today our federal government is 200,000 employees smaller than  it was the day I took office as President.  
1996_107	1996_107	Our federal government today is the smallest it has been in 30 years, and  it's getting smaller every day. Most of our fellow Americans probably don't  know that. And there is a good reason: The remaining federal work force is  composed of Americans who are now working harder and working smarter than  ever before, to make sure the quality of our services does not decline.  
1996_108	1996_108	I'd like to give you one example. His name is Richard Dean. He is a 49  year_old Vietnam veteran who's worked for the Social Security  Administration for 22 years now. Last year he was hard at work in the  Federal Building in Oklahoma City when the blast killed 169 people and  brought the rubble down all around him. He reentered that building four  times. He saved the lives of three women. He's here with us this evening,  and I want to recognize Richard and applaud both his public service and his  extraordinary personal heroism.  
1996_110	1996_110	On behalf of Richard Dean and his family, and all the other people who are  out there working every day doing a good job for the American people, I  challenge all of you in this Chamber: Never, ever shut the federal  government down again.  
1996_116	1996_116	Now, each of us must hold high the torch of citizenship in our own lives.  None of us can finish the race alone. We can only achieve our destiny  together one hand, one generation, one American connecting to another.  
1997_5	1997_5	My fellow Americans, the state of our union is strong, but now we must rise  to the decisive moment, to make a nation and a world better than any we  have ever known.  
1997_9	1997_9	The spirit we bring to our work will make all the difference.  
1997_10	1997_10	We must be committed to the pursuit of opportunity for all Americans,  responsibility from all Americans in a community of all Americans. And we  must be committed to a new kind of government: not to solve all our  problems for us, but to give our people all our people the tools they  need to make the most of their own lives. And we must work together.  
1997_11	1997_11	The people of this nation elected us all. They want us to be partners, not  partisans. They put us all right here in the same boat. They gave us all  oars, and they told us to row. Now, here is the direction I believe we  should take.  
1997_14	1997_14	Now we must keep our economy the strongest in the world. We here tonight  have an historic opportunity. Let this Congress be the Congress that  finally balances the budget. Thank you.  
1997_16	1997_16	It will balance the budget and provide middle_class tax relief to pay for  education and health care, to help to raise a child, to buy and sell a  home.  
1997_17	1997_17	Balancing the budget requires only your vote and my signature. It does not  require us to rewrite our Constitution. I believe, I believe it is both  unnecessary, unwise to adopt a balanced budget amendment that could cripple  our country in time of economic crisis and force unwanted results such as  judges halting Social Security checks or increasing taxes.  
1997_23	1997_23	So let's set our own deadline. Let's work together to write bipartisan  campaign finance reform into law and pass McCain_Feingold by the day we  celebrate the birth of our democracy, July the 4th.  
1997_25	1997_25	Here is my plan: Tax credits and other incentives for businesses that hire  people off welfare; Incentives for job placement firms in states to create  more jobs for welfare recipients; Training, transportation and child care  to help people go to work. Now I challenge every state turn those welfare  checks into private sector paychecks. I challenge every religious  congregation, every community nonprofit, every business to hire someone off  welfare. And I'd like to say especially to every employer in our country  who ever criticized the old welfare system, you can't blame that old system  anymore; we have torn it down. Now, do your part. Give someone on welfare  the chance to go to work.  
1997_27	1997_27	We passed welfare reform. All of you know I believe we were right to do it.  But no one can walk out of this chamber with a clear conscience unless you  are prepared to finish the job.  
1997_29	1997_29	Now, looking ahead, the greatest step of all, the high threshold to the  future we must now cross, and my number one priority for the next four  years, is to ensure that all Americans have the best education in the  world. Thank you.  
1997_37	1997_37	Second, to have the best schools, we must have the best teachers. Most of  us in this chamber would not be here tonight without the help of those  teachers. I know that I wouldn't be here.  
1997_38	1997_38	For years many of our educators, led by North Carolina's governor, Jim  Hunt, and the National Board for Professional Teaching Standards, have  worked very hard to establish nationally accepted credentials for  excellence in teaching.  
1997_43	1997_43	You must use these tutors to help your students read. And it is especially  a challenge to our parents. You must read with your children every night.  
1997_47	1997_47	Fifth, every state should give parents the power to choose the right public  school for their children. Their right to choose will foster competition  and innovation that can make public schools better. We should also make it  possible for more parents and teachers to start charter schools, schools  that set and meet the highest standards and exist only as long as they do.  
1997_59	1997_59	That is my plan a call to action for American education. Some may say  that it is unusual for a president to pay this kind of attention to  education. Some may say it is simply because the president and his  wonderful wife have been obsessed with this subject for more years than  they can recall. That is not what is driving these proposals. We must  understand the significance of this endeavor.  
1997_61	1997_61	To prepare America for the 21st century, we must harness the powerful  forces of science and technology to benefit all Americans. This is the  first State of the Union carried live in video over the Internet, but we've  only begun to spread the benefits of a technology revolution that should  become the modern birthright of every citizen.  
1997_63	1997_63	And I challenge the private sector tonight to start by connecting every  children's hospital as soon as possible so that a child in bed can stay in  touch with school, family and friends. A sick child need no longer be a  child alone.  
1997_65	1997_65	As the Internet becomes our new town square, a computer in every home: a  teacher of all subjects, a connection to all cultures. This will no longer  be a dream, but a necessity. And over the next decade, that must be our  goal.  
1997_66	1997_66	We must continue to explore the heavens, pressing on with the Mars probes  and the International Space Station, both of which will have practical  applications for our everyday living.  
1997_69	1997_69	To prepare America for the 21st century we must build stronger families.  Over the past four years the Family and Medical Leave Law has helped  millions of Americans to take time off to be with their families.  
1997_72	1997_72	My my balanced budget will extend health coverage to up to 5 million of  those children. Since nearly half of all children who lose their insurance  do so because their parents lose or change a job, my budget will also  ensure that people who temporarily lose their jobs can still afford to keep  their health insurance. No child should be without a doctor just because a  parent is without a job.  
1997_77	1997_77	Finally, we must also protect our children by standing firm in our  determination to ban the advertising and marketing of cigarettes that  endanger their lives.  
1997_82	1997_82	We should double the number of empowerment zones. They've already brought  so much hope to communities like Detroit, where the unemployment rate has  been cut in half in four years. We should restore contaminated urban land  and buildings to constructive use. We should expand the network of  community development banks.  
1997_86	1997_86	Now we must be as vigilant with our rivers as we are with our lands.  Tonight I announce that this year I will designate 10 American Heritage  Rivers to help communities alongside them revitalize their waterfronts and  clean up pollution in the rivers, proving once again that we can grow the  economy as we protect the environment.  
1997_87	1997_87	We must also protect our global environment, working to ban the worst toxic  chemicals and to reduce the greenhouse gases that challenge our health even  as they change our climate.  
1997_89	1997_89	Our national service program, AmeriCorps, has already helped 70,000 young  people to work their way through college as they serve America. Now we  intend to mobilize millions of Americans to serve in thousands of ways.  Citizen service is an American responsibility which all Americans should  embrace. And I ask your support for that endeavor.  
1997_100	1997_100	Our prosperity requires it. More than 2 million American jobs depend upon  trade with Asia. There, too, we are helping to shape an Asia Pacific  community of cooperation, not conflict.  
1997_110	1997_110	Fifth, we must move strongly against new threats to our security. In the  past four years, we agreed to ban we led the way to a worldwide agreement  to ban nuclear testing.  
1997_111	1997_111	With Russia, we dramatically cut nuclear arsenals and we stopped targeting  each other's citizens. We are acting to prevent nuclear materials from  falling into the wrong hands, and to rid the world of land mines.  
1997_113	1997_113	Now we must rise to a new test of leadership ratifying the Chemical  Weapons Convention. Make no mistake about it, it will make our troops safer  from chemical attack. It will help us to fight terrorism. We have no more  important obligations, especially in the wake of what we now know about the  Gulf War.  
1997_115	1997_115	Finally, we must have the tools to meet all these challenges. We must  maintain a strong and ready military. We must increase funding for weapons  modernization by the year 2000. And we must take good care of our men and  women in uniform. They are the world's finest.  
1997_120	1997_120	In the end, more than anything else, our world leadership grows out of the  power of our example here at home, out of our ability to remain strong as  one America.  
1997_121	1997_121	All over the world people are being torn asunder by racial, ethnic and  religious conflicts that fuel fanaticism and terror. We are the world's  most diverse democracy, and the world looks to us to show that it is  possible to live and advance together across those kinds of differences.  America has always been a nation of immigrants.  
